Borough,Major Class Description,Minor Class Description,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,Total
Barking and Dagenham,Burglary,Business and Community,30.0,30.0,26.0,31.0,17.0,28.0,28.0,16.0,16.0,28.0,23.0,32.0,21.0,18.0,25.0,20.0,18.0,13.0,12.0,30.0,24.0,21.0,29.0,27.0,563.0
Barking and Dagenham,Burglary,Residential,5.0,5.0,1.0,6.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,5.0,3.0,0.0,1.0,1.0,2.0,61.0
Barking and Dagenham,Criminal Damage,Arson,2.0,1.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,6.0,1.0,0.0,2.0,0.0,3.0,4.0,2.0,1.0,2.0,4.0,1.0,45.0
Barking and Dagenham,Criminal Damage,Damage To M/V,12.0,11.0,11.0,5.0,3.0,10.0,1.0,10.0,14.0,9.0,11.0,8.0,7.0,8.0,10.0,10.0,5.0,9.0,11.0,6.0,13.0,9.0,15.0,10.0,218.0
Barking and Dagenham,Criminal Damage,Damage To Other Bldg,9.0,7.0,3.0,6.0,4.0,4.0,3.0,1.0,4.0,5.0,6.0,9.0,5.0,3.0,2.0,7.0,1.0,2.0,3.0,8.0,5.0,4.0,5.0,4.0,110.0
Barking and Dagenham,Criminal Damage,Criminal Damage To a Dwelling,3.0,4.0,2.0,4.0,6.0,3.0,3.0,4.0,3.0,0.0,4.0,6.0,4.0,2.0,1.0,5.0,3.0,1.0,2.0,3.0,6.0,3.0,2.0,6.0,80.0
Barking and Dagenham,Criminal Damage,Other Criminal Damage,11.0,12.0,16.0,14.0,13.0,15.0,8.0,7.0,18.0,13.0,8.0,18.0,22.0,13.0,11.0,10.0,13.0,8.0,10.0,26.0,26.0,19.0,14.0,12.0,337.0
Barking and Dagenham,Drugs,Drug Trafficking,0.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,28.0
Barking and Dagenham,Drugs,Other Drug Offences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Barking and Dagenham,Drugs,Possession Of Drugs,23.0,28.0,31.0,24.0,31.0,28.0,36.0,49.0,47.0,27.0,24.0,29.0,31.0,42.0,17.0,17.0,27.0,33.0,27.0,27.0,38.0,38.0,31.0,42.0,747.0
Barking and Dagenham,Fraud or Forgery,Fraud or Forgery,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,12.0
Barking and Dagenham,Other Notifiable Offences,Other Notifiable,5.0,6.0,7.0,5.0,5.0,3.0,6.0,2.0,11.0,12.0,3.0,12.0,5.0,12.0,4.0,1.0,4.0,7.0,7.0,11.0,5.0,4.0,1.0,6.0,144.0
Barking and Dagenham,Robbery,Business Property,7.0,8.0,9.0,10.0,8.0,7.0,6.0,4.0,3.0,6.0,0.0,2.0,3.0,5.0,3.0,2.0,6.0,5.0,7.0,3.0,5.0,2.0,5.0,2.0,118.0
